mobile_id,battery_power,bluetooth,clock_speed,dual_sim,front_cam,four_g,int_memory,mobile_depth,mobile_wt,n_cores,primary_cam,px_height,px_width,ram,screen_ht,screen_wid,talk_time,three_g,touch_screen,wifi,price_class
100001,898,Yes,0.4,Yes,2,Yes,High,1.2,59,3,3,48,1217,3249,7,0,8,Yes,No,Yes,0
100002,737,Yes,2.4,Yes,7,No,Medium,0.6,193,4,16,781,1463,2951,7,0,10,No,Yes,No,0
100003,1511,No,0.8,No,4,Yes,Medium,0.1,145,5,5,337,674,874,18,10,19,Yes,Yes,Yes,0
100004,1469,Yes,0.5,Yes,8,No,Medium,0.4,126,7,10,913,1049,3987,22,17,2,Yes,Yes,Yes,0
100005,1562,Yes,0.7,No,0,No,Medium,0.1,140,8,1,1032,1776,2096,15,3,3,No,No,No,1
100006,1199,Yes,0.3,No,2,No,Low,1.1,92,8,7,316,550,508,15,7,15,Yes,Yes,Yes,0
100007,1527,Yes,0.7,Yes,18,Yes,Medium,0.3,169,4,20,1041,1381,2478,6,1,11,Yes,No,Yes,0
100008,878,No,0.9,No,1,No,High,0.5,160,3,6,113,636,2110,19,9,5,Yes,Yes,Yes,0
100009,1392,Yes,2.2,Yes,11,Yes,Low,0.2,152,6,17,724,845,936,20,2,11,Yes,Yes,No,0
100010,1620,Yes,0.1,Yes,3,Yes,High,0.9,203,5,4,1084,1998,618,7,2,1,Yes,Yes,Yes,0
100011,1613,No,2.7,Yes,31,No,Medium,0.4,104,5,35,67,2047,1346,10,1,15,Yes,Yes,Yes,0
100012,1487,No,0.5,No,6,Yes,Medium,0.7,84,3,12,140,768,2563,18,4,14,Yes,No,No,0
100013,997,No,3.4,No,3,No,Low,0.0,106,6,0,382,1389,1975,6,3,10,No,No,No,1
100014,1867,No,2.3,,,Yes,Low,0.1,191,6,3,,1442,990,6,1,2,Yes,No,Yes,0
100015,913,Yes,2.7,Yes,7,No,Medium,0.2,163,3,12,143,903,3913,13,6,8,No,No,No,0
100016,1481,Yes,1.3,No,17,Yes,Low,1.1,192,8,23,155,773,2282,20,11,5,Yes,Yes,Yes,0
100017,2019,Yes,3.6,Yes,9,No,Low,0.1,222,8,20,691,614,2398,4,4,30,Yes,Yes,No,1
100018,1033,Yes,2.5,Yes,6,Yes,Medium,0.2,68,9,8,0,1753,2114,10,1,21,Yes,Yes,Yes,0
100019,1482,No,0.5,,,No,Medium,0.2,142,7,10,,642,2971,12,8,12,Yes,Yes,Yes,1
100020,1071,No,2.6,No,0,No,Medium,0.3,199,4,5,1328,1970,3393,6,5,7,Yes,No,No,1
100021,1019,Yes,1.3,Yes,4,Yes,Medium,1.5,210,4,28,660,1058,745,25,24,28,Yes,Yes,Yes,0
100022,1737,No,1.8,Yes,6,Yes,Low,0.5,144,3,7,854,1233,3972,16,13,2,Yes,No,Yes,0
100023,1382,No,3.0,No,2,No,Low,0.4,147,6,7,599,684,3849,8,0,12,Yes,No,Yes,0
100024,1219,Yes,2.6,Yes,17,Yes,Low,0.2,118,4,22,1166,1554,3428,18,14,9,Yes,No,Yes,0
100025,864,No,2.5,No,10,Yes,Medium,0.7,148,4,15,1362,1378,3964,13,8,12,Yes,Yes,No,0
100026,840,No,1.2,Yes,5,Yes,Low,0.3,178,6,8,526,1728,2636,12,2,6,Yes,Yes,No,0
100027,1039,No,1.1,Yes,6,No,Medium,1.1,255,4,17,1011,1779,554,1,5,15,Yes,Yes,Yes,0
100028,929,No,0.4,Yes,15,No,High,0.2,174,0,11,1048,1891,2337,19,11,30,Yes,No,Yes,0
100029,1122,No,0.5,No,0,Yes,Medium,0.3,157,7,14,660,1159,1457,9,2,20,Yes,Yes,No,0
100030,1478,No,2.5,Yes,1,Yes,High,1.5,67,2,11,108,966,3977,11,12,17,Yes,Yes,Yes,0
100031,1527,No,3.1,Yes,5,No,Medium,1.0,218,1,2,709,562,622,11,2,4,Yes,Yes,Yes,0
100032,1735,No,1.8,Yes,16,No,Medium,0.1,140,2,17,149,876,2392,17,15,19,Yes,No,Yes,0
100033,1312,No,0.5,Yes,0,Yes,Medium,0.8,163,2,0,1233,1854,1087,17,16,14,Yes,No,No,0
